256 bodies after simulation of 10 seconds (1 frame per 0.001 microsecond)
Body 93 : Position (2.42968m, -2.17655m), Velocity (0m/s, 0m/s)
Body 94 : Position (0.277962m, -0.0329702m), Velocity (0m/s, 0m/s)
Body 95 : Position (-7.5269m, 0.369853m), Velocity (0m/s, 0m/s)
Body 96 : Position (1.19382m, 3.01394m), Velocity (0m/s, 0m/s)
Body 97 : Position (4.24552m, 5.62369m), Velocity (0m/s, 0m/s)
Body 98 : Position (-2.62119m, -1.4328m), Velocity (0m/s, 0m/s)
Body 99 : Position (-1.08359m, -1.56715m), Velocity (0m/s, 0m/s)
Body 100 : Position (-2.19425m, 0.448223m), Velocity (0m/s, 0m/s)
Body 101 : Position (-0.943422m, 0.203848m), Velocity (0m/s, 0m/s)
Body 102 : Position (0.132967m, 0.341158m), Velocity (0m/s, 0m/s)
Body 103 : Position (1.73585m, 0.809932m), Velocity (0m/s, 0m/s)
Body 104 : Position (0.534886m, 0.776057m), Velocity (0m/s, 0m/s)
Body 105 : Position (0.824498m, -0.871476m), Velocity (0m/s, 0m/s)
Body 106 : Position (0.722619m, 0.118374m), Velocity (0m/s, 0m/s)
Body 107 : Position (-0.565112m, 0.1076m), Velocity (0m/s, 0m/s)
Body 108 : Position (-1.46653m, -2.54581m), Velocity (0m/s, 0m/s)
Body 109 : Position (1.63301m, 0.112999m), Velocity (0m/s, 0m/s)
Body 110 : Position (0.697284m, 3.13307m), Velocity (0m/s, 0m/s)
Body 111 : Position (2.77117m, -1.43345m), Velocity (0m/s, 0m/s)
Body 112 : Position (-4.09547m, 5.62359m), Velocity (0m/s, 0m/s)
Body 113 : Position (-32.956m, 13.5193m), Velocity (0m/s, 0m/s)
Body 114 : Position (33.5843m, -13.1756m), Velocity (0m/s, 0m/s)
Body 115 : Position (0.215014m, 0.0794621m), Velocity (0m/s, 0m/s)
Body 116 : Position (-0.686107m, -0.396901m), Velocity (0m/s, 0m/s)
Body 117 : Position (0.434972m, 0.579215m), Velocity (0m/s, 0m/s)
Body 118 : Position (-0.160387m, 1.06057m), Velocity (0m/s, 0m/s)
Body 119 : Position (3.30412m, -3.14791m), Velocity (0m/s, 0m/s)
Body 120 : Position (1.29282m, 0.521229m), Velocity (0m/s, 0m/s)
Body 121 : Position (-2.80242m, 3.72172m), Velocity (0m/s, 0m/s)
Body 122 : Position (-1.79996m, -0.12238m), Velocity (0m/s, 0m/s)
Body 123 : Position (1.68422m, -1.0089m), Velocity (0m/s, 0m/s)
Body 124 : Position (-2.55501m, 3.33243m), Velocity (0m/s, 0m/s)
