n = 100000
Cycles = 2000
Car 533 : Position 108235, Velocity 8
Car 534 : Position 108216, Velocity 8
Car 535 : Position 108201, Velocity 8
Car 536 : Position 108187, Velocity 7
Car 537 : Position 108173, Velocity 7
Car 538 : Position 108161, Velocity 8
Car 539 : Position 108149, Velocity 8
Car 540 : Position 108136, Velocity 8
Car 541 : Position 108121, Velocity 8
Car 542 : Position 108112, Velocity 8
Car 543 : Position 108096, Velocity 8
Car 544 : Position 108085, Velocity 7
Car 545 : Position 108070, Velocity 7
Car 546 : Position 108058, Velocity 8
Car 547 : Position 108047, Velocity 8
Car 548 : Position 108038, Velocity 7
Car 549 : Position 108028, Velocity 8
Car 550 : Position 108014, Velocity 8
Car 551 : Position 108003, Velocity 8
Car 552 : Position 107981, Velocity 8
Car 553 : Position 107954, Velocity 8
Car 554 : Position 107938, Velocity 7
Car 555 : Position 107928, Velocity 8
Car 556 : Position 107917, Velocity 8
Car 557 : Position 107905, Velocity 8
Car 558 : Position 107891, Velocity 8
Car 559 : Position 107878, Velocity 8
Car 560 : Position 107867, Velocity 8
Car 561 : Position 107854, Velocity 8
Car 562 : Position 107837, Velocity 8
Car 563 : Position 107823, Velocity 8
Car 564 : Position 107812, Velocity 8
Car 565 : Position 107799, Velocity 8
Car 566 : Position 107773, Velocity 8
Car 567 : Position 107759, Velocity 8
Car 568 : Position 107745, Velocity 8
Car 569 : Position 107733, Velocity 8
Car 570 : Position 107706, Velocity 8
Car 571 : Position 107694, Velocity 8
Car 572 : Position 107685, Velocity 8
Car 573 : Position 107659, Velocity 8
Car 574 : Position 107650, Velocity 8
Car 575 : Position 107631, Velocity 8
Car 576 : Position 107621, Velocity 8
Car 577 : Position 107611, Velocity 8
Car 578 : Position 107601, Velocity 8
Car 579 : Position 107583, Velocity 8
Car 580 : Position 107571, Velocity 7
Car 581 : Position 107560, Velocity 8
Car 582 : Position 107541, Velocity 8
Car 583 : Position 107529, Velocity 8
Car 584 : Position 107520, Velocity 8
Car 585 : Position 107507, Velocity 8
Car 586 : Position 107494, Velocity 8
Car 587 : Position 107482, Velocity 8
Car 588 : Position 107473, Velocity 7
Car 589 : Position 107464, Velocity 7
Car 590 : Position 107450, Velocity 7
Car 591 : Position 107442, Velocity 8
Car 592 : Position 107425, Velocity 8
Car 593 : Position 107416, Velocity 8
Car 594 : Position 107399, Velocity 7
Car 595 : Position 107390, Velocity 8
Car 596 : Position 107376, Velocity 8
Car 597 : Position 107367, Velocity 8
Car 598 : Position 107358, Velocity 8
Car 599 : Position 107346, Velocity 8
Car 600 : Position 107328, Velocity 8
Car 601 : Position 107319, Velocity 8
Car 602 : Position 107307, Velocity 8
Car 603 : Position 107295, Velocity 8
Car 604 : Position 107285, Velocity 7
Car 605 : Position 107274, Velocity 8
Car 606 : Position 107260, Velocity 8
Car 607 : Position 107245, Velocity 8
Car 608 : Position 107235, Velocity 8
Car 609 : Position 107226, Velocity 8
Car 610 : Position 107213, Velocity 8
Car 611 : Position 107199, Velocity 8
Car 612 : Position 107183, Velocity 8
Car 613 : Position 107166, Velocity 8
Car 614 : Position 107157, Velocity 8
Car 615 : Position 107148, Velocity 8
Car 616 : Position 107135, Velocity 8
Car 617 : Position 107121, Velocity 8
Car 618 : Position 107112, Velocity 8
Car 619 : Position 107100, Velocity 7
Car 620 : Position 107077, Velocity 7
Car 621 : Position 107065, Velocity 8
Car 622 : Position 107056, Velocity 7
Car 623 : Position 107048, Velocity 8
Car 624 : Position 107039, Velocity 8
Car 625 : Position 107027, Velocity 8
Car 626 : Position 107012, Velocity 7
Car 627 : Position 107001, Velocity 8
Car 628 : Position 106982, Velocity 8
Car 629 : Position 106973, Velocity 8
Car 630 : Position 106961, Velocity 8
Car 631 : Position 106948, Velocity 8
Car 632 : Position 106935, Velocity 8
Car 633 : Position 106925, Velocity 7
Car 634 : Position 106915, Velocity 8
Car 635 : Position 106901, Velocity 8
Car 636 : Position 106892, Velocity 7
Car 637 : Position 106882, Velocity 8
Car 638 : Position 106872, Velocity 8
Car 639 : Position 106858, Velocity 8
Car 640 : Position 106849, Velocity 8
Car 641 : Position 106839, Velocity 8
Car 642 : Position 106828, Velocity 8
Car 643 : Position 106816, Velocity 8
Car 644 : Position 106802, Velocity 7
Car 645 : Position 106792, Velocity 8
Car 646 : Position 106779, Velocity 8
Car 647 : Position 106770, Velocity 7
Car 648 : Position 106757, Velocity 7
Car 649 : Position 106749, Velocity 8
Car 650 : Position 106738, Velocity 8
Car 651 : Position 106729, Velocity 8
Car 652 : Position 106716, Velocity 7
Car 653 : Position 106703, Velocity 8
Car 654 : Position 106692, Velocity 8
Car 655 : Position 106679, Velocity 7
Car 656 : Position 106669, Velocity 8
Car 657 : Position 106659, Velocity 8
Car 658 : Position 106647, Velocity 8
Car 659 : Position 106635, Velocity 8
Car 660 : Position 106625, Velocity 8
Car 661 : Position 106613, Velocity 8
Car 662 : Position 106596, Velocity 7
Car 663 : Position 106575, Velocity 8
Car 664 : Position 106565, Velocity 7
Car 665 : Position 106557, Velocity 8
Car 666 : Position 106546, Velocity 8
Car 667 : Position 106526, Velocity 8
Car 668 : Position 106511, Velocity 7
Car 669 : Position 106497, Velocity 8
Car 670 : Position 106479, Velocity 7
Car 671 : Position 106466, Velocity 8
Car 672 : Position 106456, Velocity 8
Car 673 : Position 106442, Velocity 8
Car 674 : Position 106431, Velocity 8
Car 675 : Position 106421, Velocity 8
Car 676 : Position 106406, Velocity 8
Car 677 : Position 106392, Velocity 8
Car 678 : Position 106381, Velocity 8
Car 679 : Position 106371, Velocity 8
Car 680 : Position 106359, Velocity 8
Car 681 : Position 106349, Velocity 7
Car 682 : Position 106341, Velocity 8
Car 683 : Position 106325, Velocity 8
Car 684 : Position 106304, Velocity 8
Car 685 : Position 106275, Velocity 8
Car 686 : Position 106261, Velocity 8
Car 687 : Position 106246, Velocity 8
Car 688 : Position 106236, Velocity 6
Car 689 : Position 106225, Velocity 8
Car 690 : Position 106214, Velocity 8
Car 691 : Position 106203, Velocity 8
Car 692 : Position 106183, Velocity 8
Car 693 : Position 106171, Velocity 8
Car 694 : Position 106159, Velocity 8
Car 695 : Position 106148, Velocity 7
Car 696 : Position 106140, Velocity 8
Car 697 : Position 106126, Velocity 8
Car 698 : Position 106105, Velocity 8
Car 699 : Position 106093, Velocity 8
Car 700 : Position 106084, Velocity 8
Car 701 : Position 106066, Velocity 8
Car 702 : Position 106056, Velocity 7
Car 703 : Position 106044, Velocity 8
Car 704 : Position 106031, Velocity 8
Car 705 : Position 106014, Velocity 7
Car 706 : Position 106002, Velocity 8
Car 707 : Position 105991, Velocity 7
Car 708 : Position 105975, Velocity 7
Car 709 : Position 105964, Velocity 8
Car 710 : Position 105944, Velocity 8
Car 711 : Position 105933, Velocity 8
Car 712 : Position 105921, Velocity 8
